#Settings
,Signal to Noise Ratio,Window size,Lower frequency bound,Upper frequency bound,Skip similar frequency regions,Chancel run after 10 similar frequencies,Ignore unsignificant frequencies number
0,3.5,2.0,,,False,True,0


#Statistics
,Duty cycle,Nyquist frequency,Total number of found frequencies
0,0.9207659413648241,360.0019637387029,95


#Result
f_nr,frequency,amp,phase,snr,res_noise,significant
83,23.55279+/-0.00008,0.000121+/-0.000020,0.210+/-0.026,4.8359983822156805,-3.008547938965187e-05,True
84,5.38926+/-0.00008,0.000121+/-0.000020,0.206+/-0.026,11.266041035867518,-2.9990202047196166e-05,True
85,22.48016+/-0.00008,0.000120+/-0.000020,0.122+/-0.026,5.38091606767859,-2.9928191355712226e-05,True
86,25.16411+/-0.00008,0.000119+/-0.000020,0.572+/-0.027,4.068740899823415,-2.9929575196728214e-05,True
87,18.70815+/-0.00008,0.000118+/-0.000020,0.101+/-0.027,5.8343643345999325,-2.9919148546368778e-05,True
88,10.80818+/-0.00008,0.000117+/-0.000020,0.078+/-0.027,5.289527263391428,-3.0008576404778896e-05,True
89,13.46365+/-0.00008,0.000116+/-0.000020,0.706+/-0.027,5.4903340875542765,-2.9907904337485295e-05,True
90,10.99565+/-0.00008,0.000114+/-0.000020,0.263+/-0.028,5.477798332354528,-2.9974302084718833e-05,True
91,18.75561+/-0.00008,0.000113+/-0.000020,0.473+/-0.028,5.797714268262611,-2.9935827118779135e-05,True
92,1.21620+/-0.00008,0.000113+/-0.000020,0.954+/-0.028,5.300055629195095,-2.9166370395205106e-05,True
93,26.05289+/-0.00008,0.000112+/-0.000020,0.051+/-0.028,4.108886989458894,-2.920048551616506e-05,True
94,9.58248+/-0.00008,0.000112+/-0.000020,0.516+/-0.028,6.129956385048503,-2.9328216746238495e-05,True


